query,response
"<Construct>Use the order of operations to carry out calculations involving powers/Construct>
<Subject>BIDMAS/Subject>
<Question>
\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication </Misconception>","<Construct>Use the order of operations to carry out calculations involving powers</Construct>
<Subject>BIDMAS</Subject>
<Question>
\[
2 \times 3+5-1
\]
Where do the brackets need to go to make the answer equal \( 16 \) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}+5 x-6}{x-2} \)
</Question>
<Answer>\( x+3 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+2 \)</Answer>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}+4 x-5}{x-5} \)
</Question>
<Answer>\( x+1 \)</Answer>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m-1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}+5 x+6}{x+3} \)
</Question>
<Answer>\( x+2 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Only
Tom</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
A set of exam scores are:
\( 45, 30, 60, 50, 20 \)
If all the scores were doubled, the range would:
</Question>
<Answer>The range would stay the same</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Both Tom and Katie</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
Ashley has the list of exam scores: 
\( 70, 50, 90, 65, 40 \)
Ashley says if all scores were multiplied by \( 2 \), the range wouldn't change.
Sam says if all scores were reduced by \( 10 \), the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Both Ashley and Sam</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Neither is correct</Answer>
<Misconception>Believes if you add the same value to all numbers in the dataset the range will change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
A bookstore has 5 bestselling books with these numbers of pages:
210, 180, 350, 240, 150
Tom says if all books were published in a larger font, each with 20 more pages, the range wouldn't change.
Katie says if all books were translated into another language, each with 30 fewer pages, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Neither is correct</Answer>
<Misconception>Believes if you add the same value to all numbers in the dataset the range will change</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>acute</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the intersecting diagonals properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The lengths of the diagonals of this rectangle with different length sides are... ![A rectangle with the diagonals drawn in.]()
</Question>
<Answer>equal</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>obtuse</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Identify and use the properties of a kite/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this kite with different length sides must always be... ![A kite with the diagonals drawn in. The angle on the top is highlighted in blue and the angle at the bottom is highlighted in green.]()
</Question>
<Answer>equal</Answer>
<Misconception>Does not know the properties of a kite</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>Not enough information</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the opposite sides properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The lengths of the opposite sides highlighted on this rectangle with different length sides can never be... ![A rectangle with opposite sides highlighted in red and yellow.]()
</Question>
<Answer>Unequal</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>"
"<Construct>Substitute positive integer values into formulae involving powers or roots/Construct>
<Subject>Substitution into Formula/Subject>
<Question>
The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}
</Question>
<Answer>\( 24 \)</Answer>
<Misconception>Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.</Misconception>","<Construct>Substitute positive integer values into formulae involving powers or roots</Construct>
<Subject>Substitution into Formula</Subject>
<Question>
The equation \( V= \pi r^{2}h \) is used to find values in the table below. What is the volume of the cylinder with a radius of 5cm and a height of 8cm? 
\begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 2 \) & \( 3 \) & \( 4 \) & \( 5 \) \\
\hline\( h \) & \( 3 \) & \( 3 \) & \( 3 \) & \( 8 \) \\
\hline\( V \) & \( 12 \pi \) & \( 27 \pi \) & \( 48 \pi \) & \( \color{gold}\bigstar \) \\
\hline
\end{tabular}
</Question>
<Answer>\( 200 \pi \)</Answer>
<Misconception>Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.</Misconception>"
"<Construct>Identify a unit of area/Construct>
<Subject>Area of Simple Shapes/Subject>
<Question>
James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( m \)</Answer>
<Misconception>Does not know units of area should be squared</Misconception>","<Construct>Identify a unit of volume/Construct>
<Subject>Volume of Simple Shapes/Subject>
<Question>
A water tank has a capacity of 480. The manager has written the units behind the star.

\(
480 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( m^3 \)</Answer>
<Misconception>Does not know units of volume should be cubed</Misconception>"
"<Construct>Identify a unit of area/Construct>
<Subject>Area of Simple Shapes/Subject>
<Question>
James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( \mathrm{cm} \)</Answer>
<Misconception>Does not know units of area should be squared</Misconception>","<Construct>Identify a unit of volume/Construct>
<Subject>Volume of Rectangular Prisms/Subject>
<Question>
A water tank measures 5m in length, 3m in width and 2m in height. If the volume is 30, then what units would be correct behind the star?

\(
30 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( \mathrm{m}^3 \)</Answer>
<Misconception>Does not know units of volume should be cubed</Misconception>"
"<Construct>Identify a unit of area/Construct>
<Subject>Area of Simple Shapes/Subject>
<Question>
James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( \mathrm{km}^{3} \)</Answer>
<Misconception>Does not know units of area should be squared</Misconception>","<Construct>Identify a unit of volume/Construct>
<Subject>Volume of Simple Shapes/Subject>
<Question>
A rectangular prism has a length of 5cm, a width of 3cm and a height of 2cm. What is its volume?

Behind the star he has written the units that he used.

\(
30 \, \bigstar 
\)

Which of the following units could be correct?
</Question>
<Answer>\( \mathrm{cm} \)</Answer>
<Misconception>Does not know units of volume should be cubed</Misconception>"
"<Construct>Convert two digit integer percentages to fractions/Construct>
<Subject>Converting between Fractions and Percentages/Subject>
<Question>
Convert this percentage to a fraction
\( 62 \% \)
</Question>
<Answer>\( \frac{62}{10} \)</Answer>
<Misconception>Does not understand a percentage is out of 100</Misconception>","<Construct>Convert three digit integer percentages to fractions</Construct>
<Subject>Converting between Fractions and Percentages</Subject>
<Question>
Convert this percentage to a fraction
\( 125 \% \)
</Question>
<Answer>\( \frac{125}{100} \)</Answer>
<Misconception>Does not understand a percentage is out of 100</Misconception>"
"<Construct>Convert two digit integer percentages to fractions/Construct>
<Subject>Converting between Fractions and Percentages/Subject>
<Question>
Convert this percentage to a fraction
\( 62 \% \)
</Question>
<Answer>\( \frac{6}{2} \)</Answer>
<Misconception>Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.</Misconception>","<Construct>Convert two digit integer percentages to fractions</Construct>
<Subject>Converting between Fractions and Percentages</Subject>
<Question>
Convert this percentage to a fraction
\( 85 \% \)
</Question>
<Answer>\( \frac{8}{5} \)</Answer>
<Misconception>Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.</Misconception>"
"<Construct>Convert two digit integer percentages to fractions/Construct>
<Subject>Converting between Fractions and Percentages/Subject>
<Question>
Convert this percentage to a fraction
\( 62 \% \)
</Question>
<Answer>None of these</Answer>
<Misconception>Does not understand a percentage is out of 100</Misconception>","<Construct>Convert two digit integer percentages to fractions</Construct>
<Subject>Converting between Fractions and Percentages</Subject>
<Question>
Convert this percentage to a fraction
\( 85 \% \)
</Question>
<Answer>None of these</Answer>
<Option>17/20</Option>
<Option>85/1</Option>
<Option>8 1/2</Option>"
"<Construct>Divide decimals by 10/Construct>
<Subject>Multiplying and Dividing with Decimals/Subject>
<Question>
\( 43.2 \div 10= \)
</Question>
<Answer>\( 0.432 \)</Answer>
<Misconception>Divided by 100 rather than 10</Misconception>","<Construct>Divide decimals by 10/Construct>
<Subject>Multiplying and Dividing with Decimals/Subject>
<Question>
\( 93.5 \div 10 = \)
</Question>
<Answers>
\( 0.935 \)
\( 9.35 \)
\( 93.5 \)
\( 0.0935 \)
</Answers>
<Misconception>Divided by 100 rather than 10</Misconception>"
"<Construct>Divide decimals by 10/Construct>
<Subject>Multiplying and Dividing with Decimals/Subject>
<Question>
\( 43.2 \div 10= \)
</Question>
<Answer>\( 33.2 \)</Answer>
<Misconception>Subtracts instead of divides</Misconception>","<Construct>Multiply decimals by 0.1</Construct>
<Subject>Multiplying and Dividing with Decimals</Subject>
<Question>
\( 54.7 \times 0.1 = \)
</Question>
<Answer>\( 44.7 \)</Answer>
<Misconception>Subtracts instead of divides</Misconception>"
